iter	Passed	Remaining
0	1	33670
1	3	35844
2	7	48404
3	11	55412
4	12	50520
5	14	47645
6	16	46048
7	19	48230
8	21	47631
9	23	46881
10	26	47439
11	28	47207
12	30	46633
13	33	47920
14	37	50106
15	39	49823
16	42	49875
17	44	49421
18	46	48877
19	49	49167
20	51	48874
21	53	48143
22	55	48370
23	57	48170
24	60	48302
25	62	47953
26	64	47409
27	66	47199
28	68	46880
29	70	46600
30	71	46156
31	73	45743
32	75	45663
33	77	45413
34	78	44965
35	80	44654
36	82	44388
37	84	44503
38	93	47705
39	95	47441
40	97	47261
41	99	47308
42	101	47120
43	103	46857
44	105	46735
45	108	46860
46	110	46828
47	111	46545
48	119	48556
49	121	48536
50	123	48434
51	125	48201
52	127	47932
53	129	47779
54	132	48191
55	137	49011
56	141	49545
57	143	49197
58	145	49011
59	147	48983
60	148	48567
61	150	48400
62	152	48161
63	154	48032
64	156	47883
65	158	47734
66	160	47726
67	163	47857
68	164	47659
69	166	47544
70	168	47378
71	171	47556
72	173	47448
73	175	47315
74	177	47130
75	180	47278
76	182	47194
77	184	47086
78	186	47104
79	188	46916
80	190	46810
81	192	46658
82	197	47308
83	199	47330
84	201	47245
85	203	47199
86	206	47197
87	207	47024
88	209	46902
89	211	46855
90	213	46785
91	215	46671
92	217	46524
93	219	46513
94	221	46346
95	223	46248
96	224	46153
97	227	46187
98	229	46041
99	230	45913
100	232	45806
101	234	45787
102	236	45675
103	238	45555
104	239	45410
105	241	45303
106	243	45348
107	245	45274
108	247	45169
109	249	45094
110	251	45059
111	253	44969
112	254	44850
113	256	44735
114	258	44672
115	260	44642
116	262	44570
117	263	44455
118	265	44402
119	268	44422
120	269	44318
121	271	44230
122	273	44146
123	275	44099
124	280	44555
125	288	45455
126	294	46065
127	304	47265
128	310	47811
129	317	48500
130	323	49035
131	328	49377
132	333	49827
133	335	49736
134	337	49707
135	339	49643
136	341	49558
137	343	49453
138	345	49359
139	347	49351
140	349	49257
141	351	49135
142	353	49098
143	355	49069
144	357	48948
145	358	48816
146	361	48766
147	362	48646
148	364	48542
149	366	48478
150	368	48457
151	370	48373
152	372	48323
153	374	48259
154	376	48176
155	378	48151
156	380	48078
157	382	48036
158	384	48036
159	386	47940
160	388	47860
161	390	47781
162	392	47770
163	394	47713
164	396	47702
165	398	47608
