iter	Passed	Remaining
0	3	70387
1	5	55700
2	10	66768
3	12	61950
4	16	65623
5	19	63486
6	21	60261
7	23	58765
8	25	56287
9	26	53907
10	29	52744
11	31	51906
12	33	50759
13	36	51426
14	38	50840
15	40	50682
16	43	50552
17	50	55659
18	54	57730
19	58	58029
20	60	57479
21	62	56530
22	64	55778
23	66	55462
24	68	54893
25	70	54431
26	73	54437
27	75	53972
28	77	53569
29	79	53218
30	82	53463
31	84	53009
32	87	52805
33	90	53083
34	92	52521
35	94	52353
36	97	52431
37	99	52063
38	100	51601
39	103	51708
40	108	52726
41	110	52509
42	113	52529
43	115	52519
44	118	52470
45	121	52538
46	123	52356
47	125	52098
48	127	51752
49	130	51964
50	132	51691
51	134	51652
52	138	52112
53	143	52960
54	146	53242
55	148	52927
56	151	52900
57	154	53096
58	156	52834
59	158	52742
60	161	52671
61	163	52554
62	166	52745
63	169	52919
64	171	52671
65	174	52571
66	176	52632
67	179	52502
68	181	52396
69	185	52704
70	187	52523
71	191	52904
72	202	55256
73	210	56649
74	216	57484
75	218	57370
76	221	57212
77	222	56773
78	223	56457
79	226	56515
80	228	56283
81	230	55916
82	231	55570
83	234	55580
84	236	55446
85	238	55237
86	242	55443
87	244	55351
88	246	55223
89	250	55494
90	254	55592
91	256	55530
92	258	55438
93	260	55253
94	262	55086
95	266	55248
96	268	55048
97	270	54950
98	273	54896
99	275	54749
100	277	54598
101	278	54419
102	282	54524
103	283	54327
104	286	54233
105	288	54142
106	290	54032
107	295	54355
108	298	54511
109	302	54690
110	304	54492
111	306	54376
112	308	54302
113	310	54245
114	312	54082
115	314	53951
116	317	53918
117	319	53781
118	321	53641
119	323	53540
120	326	53622
121	328	53465
122	330	53350
123	331	53169
124	334	53246
125	336	53147
126	339	53148
127	345	53570
128	347	53511
129	350	53587
130	352	53513
131	354	53418
132	357	53327
133	359	53278
134	361	53200
135	363	53032
136	366	53106
137	368	52985
138	370	52893
139	371	52731
140	374	52808
141	376	52699
142	378	52625
143	382	52696
144	384	52610
145	386	52597
146	388	52519
147	391	52508
148	393	52458
149	398	52780
150	402	52963
151	406	53015
152	407	52923
153	410	52871
154	411	52746
155	415	52797
156	417	52726
157	419	52687
158	422	52779
159	424	52692
160	427	52659
161	429	52636
162	431	52565
163	434	52506
164	436	52425
165	438	52450
166	440	52354
167	443	52317
168	445	52289
169	447	52178
170	448	52050
171	451	51994
172	454	52048
173	456	51957
174	458	51932
175	459	51804
176	462	51836
177	465	51794
178	466	51688
179	468	51600
180	470	51566
181	473	51511
182	475	51449
183	478	51491
184	479	51392
185	482	51360
186	490	51925
187	493	51989
188	497	52184
189	499	52104
190	503	52176
191	505	52103
192	507	52060
193	510	52120
194	512	52016
195	514	51956
196	515	51856
197	518	51896
198	520	51827
199	523	51795
200	526	51842
201	528	51758
202	530	51700
203	531	51595
204	535	51666
205	537	51602
206	539	51582
207	543	51705
208	545	51627
209	547	51557
210	549	51568
211	551	51521
212	554	51517
213	557	51524
214	559	51485
215	561	51454
216	563	51373
217	566	51374
218	568	51313
219	570	51272
220	573	51299
221	575	51260
222	577	51244
223	580	51247
224	582	51228
225	584	51172
226	586	51111
227	591	51307
228	594	51315
229	597	51348
230	599	51310
231	601	51280
232	603	51229
233	606	51226
234	608	51160
235	610	51122
236	613	51186
237	615	51131
238	617	51089
239	619	51040
240	622	51032
241	624	50952
242	626	50956
243	629	50990
244	631	50935
245	634	50927
246	636	50921
247	638	50873
248	641	50851
249	643	50799
250	645	50805
251	647	50761
252	649	50712
253	651	50645
254	654	50663
255	656	50631
256	658	50569
257	660	50558
258	662	50504
259	664	50437
260	665	50368
261	668	50342
262	670	50296
263	672	50239
264	674	50201
265	678	50337
266	681	50371
267	684	50431
268	687	50457
269	690	50459
270	693	50509
271	696	50511
272	698	50446
273	700	50436
274	702	50385
275	704	50372
276	706	50300
277	709	50339
278	711	50288
279	713	50266
280	716	50294
281	718	50259
282	720	50230
283	723	50229
284	726	50222
285	728	50206
286	730	50145
287	733	50193
288	735	50148
289	737	50108
290	739	50095
291	741	50056
292	744	50057
293	746	50022
294	749	50054
295	751	50014
296	753	50008
297	756	50038
298	758	49982
299	760	49964
300	763	49991
301	765	49952
302	768	49944
303	770	49894
304	773	49977
305	776	49981
306	778	49939
307	784	50140
308	786	50099
309	789	50127
310	791	50097
311	793	50077
312	795	50059
313	798	50038
314	799	49986
315	801	49935
316	804	49958
317	806	49920
318	808	49884
319	810	49826
320	812	49830
321	814	49775
322	816	49727
323	818	49714
324	821	49759
325	823	49720
326	826	49705
327	828	49698
328	830	49673
329	833	49662
330	834	49611
331	837	49635
332	839	49585
333	841	49568
334	844	49596
335	846	49562
336	848	49535
337	850	49492
338	854	49540
339	856	49501
340	858	49471
341	861	49527
342	863	49504
343	865	49477
344	868	49502
345	871	49477
346	874	49500
347	876	49521
348	880	49595
349	883	49619
350	886	49618
351	888	49572
352	890	49547
353	893	49578
354	895	49540
355	897	49513
356	899	49471
357	902	49501
358	904	49504
359	906	49465
360	909	49497
361	912	49513
362	914	49460
363	917	49481
364	919	49460
365	921	49444
366	923	49397
367	926	49410
368	928	49416
369	930	49376
370	933	49392
371	935	49356
372	937	49335
373	939	49317
374	942	49328
375	944	49313
376	951	49507
377	953	49487
378	955	49463
379	958	49484
380	960	49447
381	962	49408
382	965	49444
383	967	49403
384	969	49397
385	973	49465
386	977	49544
387	981	49590
388	982	49552
389	985	49548
390	988	49556
391	990	49539
392	992	49531
393	994	49493
394	997	49528
395	999	49501
396	1001	49467
397	1004	49465
398	1006	49436
399	1008	49420
400	1010	49406
401	1018	49635
402	1023	49748
403	1027	49839
404	1030	49848
405	1032	49821
406	1034	49796
407	1037	49818
408	1039	49775
409	1041	49752
410	1045	49845
411	1051	49978
412	1059	50231
413	1066	50437
414	1072	50633
415	1079	50807
416	1082	50856
417	1085	50864
418	1089	50937
419	1091	50901
420	1096	51000
421	1099	51013
422	1102	51039
423	1104	51013
424	1107	50992
425	1109	50982
426	1111	50965
427	1113	50935
428	1115	50902
429	1119	50929
430	1120	50896
431	1123	50867
432	1127	50959
433	1129	50936
434	1131	50901
435	1135	50935
436	1137	50907
437	1139	50883
438	1142	50898
439	1144	50868
440	1146	50853
441	1148	50814
442	1151	50829
443	1154	50832
444	1159	50960
445	1167	51182
446	1214	53133
447	1224	53455
448	1232	53670
449	1237	53758
450	1242	53837
451	1246	53890
452	1250	53975
453	1254	54019
454	1259	54088
455	1264	54177
456	1269	54299
457	1275	54443
458	1281	54564
459	1284	54584
460	1289	54667
461	1296	54814
462	1302	54962
463	1309	55126
464	1316	55307
465	1321	55415
466	1326	55493
467	1331	55550
468	1336	55662
469	1340	55699
470	1345	55808
471	1350	55886
472	1355	55975
473	1358	55968
474	1362	56018
475	1367	56078
476	1372	56175
477	1378	56300
478	1383	56365
479	1387	56427
480	1390	56442
481	1393	56418
482	1394	56361
483	1397	56346
484	1399	56306
485	1401	56281
486	1403	56225
487	1405	56209
488	1407	56173
489	1410	56148
490	1413	56152
491	1415	56107
492	1416	56063
493	1419	56033
494	1422	56043
495	1423	55994
496	1426	55969
497	1427	55920
498	1431	55932
499	1433	55903
500	1435	55857
501	1438	55873
502	1440	55833
503	1442	55798
504	1444	55766
505	1447	55750
506	1449	55746
507	1452	55718
508	1454	55715
509	1457	55711
510	1459	55669
511	1462	55669
512	1464	55642
513	1467	55623
514	1470	55621
515	1473	55643
516	1475	55605
517	1478	55596
518	1480	55556
519	1482	55525
520	1484	55493
521	1486	55474
522	1488	55441
523	1491	55417
524	1494	55429
525	1496	55410
526	1498	55369
527	1501	55361
528	1503	55349
529	1506	55352
530	1510	55367
531	1512	55331
532	1514	55305
533	1516	55285
534	1519	55270
535	1521	55243
536	1523	55221
537	1526	55215
538	1528	55184
539	1530	55152
540	1532	55138
541	1534	55096
542	1537	55080
543	1539	55044
544	1542	55045
545	1544	55014
546	1546	54989
547	1549	54999
548	1551	54958
549	1553	54941
550	1555	54901
551	1558	54906
552	1560	54885
553	1562	54857
554	1568	54954
555	1570	54926
556	1573	54934
557	1575	54902
558	1578	54885
559	1581	54885
560	1583	54853
561	1585	54826
562	1587	54800
563	1590	54819
564	1593	54797
565	1595	54771
566	1598	54784
567	1600	54742
568	1602	54720
569	1605	54734
570	1607	54711
571	1609	54682
572	1612	54675
573	1614	54633
574	1616	54618
575	1618	54585
576	1622	54604
577	1624	54576
578	1626	54552
579	1629	54555
580	1631	54528
581	1633	54516
582	1637	54540
583	1641	54570
584	1643	54540
585	1646	54537
586	1648	54516
587	1650	54481
588	1652	54462
589	1654	54439
590	1657	54432
591	1660	54429
592	1664	54462
593	1666	54433
594	1669	54434
595	1671	54412
596	1673	54394
597	1675	54375
598	1678	54360
599	1680	54342
600	1682	54323
601	1685	54318
602	1687	54287
603	1689	54268
604	1692	54268
605	1694	54236
606	1696	54209
607	1698	54179
608	1701	54181
609	1703	54158
610	1705	54115
611	1707	54081
612	1709	54069
613	1711	54048
614	1713	54004
615	1715	53970
616	1717	53956
617	1719	53931
618	1721	53916
619	1725	53923
620	1726	53892
621	1729	53878
622	1732	53887
623	1734	53851
624	1736	53824
625	1738	53797
626	1745	53918
627	1747	53902
628	1749	53889
629	1752	53881
630	1754	53841
631	1757	53856
632	1759	53829
633	1761	53811
634	1765	53849
635	1769	53863
636	1771	53851
637	1774	53846
638	1776	53829
639	1778	53796
640	1781	53794
641	1783	53765
642	1785	53748
643	1788	53746
644	1790	53729
645	1792	53714
646	1794	53688
647	1798	53702
648	1800	53696
649	1803	53674
650	1806	53702
651	1809	53693
652	1811	53683
653	1816	53735
654	1818	53712
