iter	RMSE
0	2.715987508
1	2.580354637
2	2.452096093
3	2.330031766
4	2.214264452
5	2.104315402
6	1.999874895
7	1.900567853
8	1.806278678
9	1.71639319
10	1.630932635
11	1.549989057
12	1.472955873
13	1.399683922
14	1.330094228
15	1.264082008
16	1.20136451
17	1.141746841
18	1.085053177
19	1.030965404
20	0.9797158204
21	0.9309872747
22	0.8848183815
23	0.8409414074
24	0.7995572903
25	0.7599287666
26	0.7223250784
27	0.6865078562
28	0.6525122815
29	0.6203058129
30	0.5896149561
31	0.5604023718
32	0.5326424124
33	0.5064197682
34	0.4813036199
35	0.4574929471
36	0.4349212278
37	0.4134833579
38	0.3930868113
39	0.3737395053
40	0.3553553317
41	0.3379507551
42	0.3213893269
43	0.3055964611
44	0.2906056915
45	0.2763947331
46	0.2629060699
47	0.2500633642
48	0.2378544224
49	0.2262166312
50	0.2152363351
51	0.2047652785
52	0.1948813007
53	0.1854959406
54	0.1765776724
55	0.1680566318
56	0.1599922578
57	0.152326701
58	0.145107895
59	0.1381930318
60	0.1316552256
61	0.1254286793
62	0.1195472004
63	0.1139492881
64	0.10861761
65	0.1035695914
66	0.09881426908
67	0.09432164257
68	0.09005472422
69	0.08605183257
70	0.08222456915
71	0.07865074354
72	0.07524340501
73	0.07202923693
74	0.06899247932
75	0.06610105679
76	0.0633823443
77	0.06080492803
78	0.05835000201
79	0.05609810269
80	0.0539457446
81	0.05191284652
82	0.04999545383
83	0.04820697189
84	0.04650608659
85	0.04490638313
86	0.04342092878
87	0.04204332232
88	0.04069367391
89	0.03947917892
90	0.03829970765
91	0.03719344992
92	0.03618363299
93	0.03523190215
94	0.0343567277
95	0.03353949719
96	0.03276698886
97	0.03204535916
98	0.03136761868
99	0.03072156492
100	0.03010390188
101	0.029547443
102	0.0289838948
103	0.02852512327
104	0.02808807829
105	0.02767672195
106	0.02726520497
107	0.02688363668
108	0.02654126144
109	0.02622017275
110	0.02591040166
111	0.02564486408
112	0.02539944752
113	0.02515955063
114	0.0249432732
115	0.02473674076
116	0.0245361722
117	0.02435937458
118	0.0241852954
119	0.02399934603
120	0.02384421119
121	0.02368287645
122	0.02355616955
123	0.02340821727
124	0.02327737229
125	0.02314945128
126	0.02304429615
127	0.02294154913
128	0.02282538328
129	0.02274135032
130	0.02265938882
131	0.02257443458
132	0.0224914203
133	0.0224119702
134	0.0223487254
135	0.02228575003
136	0.02221539583
137	0.02214340955
138	0.02206729627
139	0.02201620148
140	0.02195679953
141	0.0219049728
142	0.02184351328
143	0.0217910371
144	0.02175091829
145	0.02170968776
146	0.02166644339
147	0.02161586112
